source_id,ra,dec,ra_error,dec_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_g_n_obs,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_n_obs,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_excess_noise,astrometric_excess_noise_sig,duplicated_source,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_variable_flag,pixel
1460855167785069184,196.88668054141374,27.3008176662138,1.1541528,0.6970179,20.57722,147.52132,387,21.444257999999998,6.897283,24,19.042063,22.027037,37,367,367,5.0306554000000006,7.3647947,False,2016.0,7.704811282091143,1.1806647,-9.064480174526171,1.5669626,-16.15289221461742,1.4346219999999998,NOT_AVAILABLE,3206
1460855266569355264,196.9049582910173,27.31106649832832,5.8681855,4.917376,21.089735,39.465855,66,20.629654000000002,4.942543,6,19.516481,3.9078467000000003,7,67,67,0.0,0.0,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460855270864253696,196.89429743320915,27.31296412864501,0.02655293,0.022423118,15.613083999999999,2941.5698,602,16.930141,334.02856,68,14.478962,1172.6895,69,535,534,0.0,1.7475811e-15,False,2016.0,7.532755770418283,0.038326185,35.44871711782021,0.036509745,-71.49783896526839,0.04400926,NOT_AVAILABLE,3206
1460855270864703616,196.89350262324882,27.308296217532824,0.024348734,0.02047692,15.430926999999999,3443.7087,593,15.807222,411.3003,60,14.882069,620.9547,64,535,533,0.0,0.0,False,2016.0,0.9946319715690066,0.034761585,-15.174497121154909,0.03343736,-4.013117162393317,0.04032862,NOT_AVAILABLE,3206
1460855408303206656,196.85658038546555,27.312767938073353,0.025114177,0.019093007,15.422239000000001,4381.892,621,15.825470000000001,568.99677,68,14.857265,738.5477,65,563,558,0.0,0.0,False,2016.0,0.9154858483541828,0.03494711,-11.03275969708237,0.03516318,-5.9778544090668975,0.042230215,NOT_AVAILABLE,3206
1460855442663035264,196.87136479510121,27.32138473719437,4.04089,2.933952,21.142736,37.43931,73,21.145176,3.217496,4,20.299877,16.735312,6,79,78,6.109439,25.425467,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460855511382422144,196.8461688452049,27.332844413717343,0.14852433,0.12470746,18.702436,723.0647,607,19.000301,53.86414,67,18.268032,49.269585,67,555,554,0.0,0.0,False,2016.0,0.12296172263199452,0.21031739,-4.469964787919409,0.20897631,-7.8417609871575475,0.2792116,NOT_AVAILABLE,3206
1460855580102349056,196.88491639091615,27.333647734454498,3.3790400000000003,2.6543419999999998,21.1478,84.8014,394,19.795338,15.768272,44,18.081781,28.603503999999997,42,385,376,25.759884,144.49828,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460855610169127680,196.8574011059978,27.346276644621202,0.101388134,0.07811046,17.92696,1131.5553,638,18.950207000000002,50.69836,69,16.877676,101.92899,65,594,589,0.47048077,3.7248237,False,2016.0,1.4099783014217673,0.1378036,-6.404425699835036,0.14191777,4.058481519592917,0.17393224,NOT_AVAILABLE,3206
1460855717540941824,196.93365797877368,27.348733503578547,6.6758637,8.648763,21.504476999999998,36.750409999999995,95,20.893578,5.764266,7,19.687635,7.441937400000001,11,95,94,19.021849,11.63247,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460855751901041024,196.902375608666,27.34492953754273,8.63527,5.5252643,21.319351,64.21726,375,19.279503,26.643459999999997,38,17.602692,79.934715,42,334,321,40.490902,84.60862,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460855786260329856,196.9196460630457,27.350652625585948,0.32947657,0.2672988,19.809872,333.85607999999996,587,20.104637,22.151037,61,19.451298,24.441301,59,530,530,0.55942804,0.42980307,False,2016.0,0.07526531463666225,0.46268684,-0.3703708582935257,0.44165558,-4.731975959350304,0.53422636,NOT_AVAILABLE,3206
1460855854979806848,196.95202226311585,27.35757065285933,0.08503791,0.0617955,17.61456,1224.0022,594,19.152302,38.69696,64,16.43313,273.96313,63,540,534,0.0,0.0,False,2016.0,5.135308186144129,0.10789873,-53.63302546240028,0.10934071,-14.371693667440965,0.12285114,NOT_AVAILABLE,3206
1460855854979807104,196.95363996048386,27.360344247197272,0.011435908,0.009167706,13.487973,6574.5435,593,13.791701000000002,1729.8229999999999,68,13.020149,2174.3342,61,536,536,0.0,3.4885738000000003e-15,False,2016.0,1.357968301955136,0.015960764,-2.6557483179313106,0.015524131000000004,-4.2826845051966265,0.017673627,NOT_AVAILABLE,3206
1460855919404466944,196.94910474342086,27.372643266779804,4.095114700000001,4.3036666,21.078249,43.978497,86,21.561176,2.4994047000000004,3,20.171082000000002,3.5754907,7,87,85,6.7110868,4.5446258,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460856022481519872,196.8803340250109,27.36096676298791,0.20412283,0.15822879999999998,19.102676000000002,572.5557,627,19.859156,22.500014999999998,66,18.30191,62.01846999999999,67,577,574,0.0,0.0,False,2016.0,0.6226214744879965,0.26647803,-1.4977516380633351,0.27077004,-2.3862540064430844,0.32699868,NOT_AVAILABLE,3206
1460856026778948096,196.88505657598202,27.360917182008816,3.0461270000000003,2.1891234,20.876253,101.74378,470,19.370886,34.334263,50,18.774642999999998,36.708965,50,430,422,23.109551999999997,528.086,False,2016.0,,,,,,,NOT_AVAILABLE,3206
1460856095497975296,196.910395046001,27.37208843775836,0.02330156,0.014286763000000001,13.657178,6638.654,618,13.987526,1896.4694,70,13.162353,1868.0393,67,554,527,0.13473642,16.250486,False,2016.0,1.96665158329866,0.025460316,-21.224969094366294,0.030071607,2.2489435895087992,0.027507272000000003,NOT_AVAILABLE,3206
