source_id,ra,dec,ra_error,dec_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_g_n_obs,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_n_obs,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_excess_noise,astrometric_excess_noise_sig,duplicated_source,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_variable_flag,pixel
1463669878895609088,194.06072513606858,27.28666519990977,0.41752273,0.35631788,19.704235,297.80328,365,21.217403,7.576795599999999,29,18.465744,44.719615999999995,38,292,289,1.5070614,2.920941,False,2016.0,2.339298215484516,0.5478006999999999,-14.853599190096489,0.52712137,-2.2880740017823333,0.4924737,NOT_AVAILABLE,3205
1463669986269801088,194.06494146584245,27.31653032535697,0.35846898,0.37218422,19.73539,286.0776,334,21.007277,8.004964,25,18.52905,26.201173999999998,36,262,260,0.0,0.0,False,2016.0,1.9480008532681456,0.50493217,2.883396435733052,0.44275020000000004,-17.883606562705364,0.4231465999999999,NOT_AVAILABLE,3205
1463670016334563328,194.0878128697136,27.3138793343895,1.2692146999999998,1.058592,20.613220000000002,89.56998,299,21.48557000000001,9.056047999999999,26,19.27935,14.819869,29,281,277,8.68787,19.818747000000002,False,2016.0,5.453776770468683,1.533996,-13.560966877190536,1.5860711,-6.74509660714233,1.4870444999999999,NOT_AVAILABLE,3205
1463670020630162816,194.08364166184398,27.314338593953284,0.020914253,0.01983091,14.363532000000001,4563.877,395,14.682576000000001,1132.4907,42,13.874098000000002,1307.0189,44,343,343,0.10696283,4.886364,False,2016.0,1.066149815126448,0.02975723,-11.152913536259947,0.02460459,-13.652203875513985,0.027383227000000003,NOT_AVAILABLE,3205
1463670054990223232,194.09615594494426,27.329285911677466,1.6103648000000002,1.0392487,20.478666,114.01677,322,19.674809,16.021889,34,18.044127,35.29624000000001,35,254,253,8.027077,16.817104,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463670089349691904,194.0790685451674,27.324148050038804,2.2154284,1.6638875,20.94329,50.35239,73,21.251991,3.4885879999999996,6,19.91933,3.7789383,4,76,76,0.0,1.1925485e-15,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463670153775291648,194.0438446799724,27.31504231247505,0.6544506999999999,0.43819067,20.285116,167.78673999999995,285,21.20916,6.389208,18,19.279660999999997,17.339619,28,282,281,0.0,0.0,False,2016.0,0.4615903315027557,0.7195165,-4.316316846531113,0.77581984,-20.374377313661586,0.6718585,NOT_AVAILABLE,3205
1463670158069115904,194.0410089090471,27.310530610794125,0.021678064,0.019876765,14.810748,1781.7642,392,16.135386999999998,214.44362999999998,44,13.672075,968.0422,46,328,328,0.0,0.0,False,2016.0,9.017843702312137,0.029547177,62.38773179721649,0.025515477999999998,-217.50652673483262,0.02824932,NOT_AVAILABLE,3205
1463670158069116032,194.0440858854421,27.313773556598143,0.5454285,0.40693379999999996,20.107368,221.64667000000003,340,21.330682999999997,8.329410000000001,32,19.03001,30.112472999999998,38,284,284,0.92935497,0.58225995,False,2016.0,1.7616027348565848,0.5948545,-2.3966387112140426,0.69462687,-13.355836349225642,0.6042057,NOT_AVAILABLE,3205
1463670188133255296,194.04939546182686,27.31514474440188,0.15458646,0.14036113,18.450723999999997,640.56036,375,19.76214,17.82124,40,17.326662,120.22033,39,327,324,0.5237227,1.6911447,False,2016.0,0.9020987401782016,0.20708495,14.013383540364902,0.1960949,-10.914747392589831,0.20388116,NOT_AVAILABLE,3205
1463670188133625088,194.04876798773253,27.31396404196336,1.057963,1.0258026,20.681583,88.93299999999998,153,20.73143,9.75077,12,20.291431,5.2154419999999995,14,143,141,2.5304136,1.1432898999999999,False,2016.0,0.7014194740505948,1.2624822,-1.5186442676331666,1.3100922,-3.124931983834676,1.7562970000000002,NOT_AVAILABLE,3205
1463670226788592896,194.02973972530805,27.329076049142397,0.18645628,0.16791476,18.899054,494.7923,388,19.165377,32.735237,40,18.5002,32.960186,36,316,314,0.0,0.0,False,2016.0,0.2387140517579481,0.24898933,-8.34543900449098,0.23151982,-2.636559660992952,0.23584382,NOT_AVAILABLE,3205
1463670359933730432,194.0474292389867,27.336576341915197,2.377726,1.1738031999999998,20.869259,80.41582,88,21.2271,7.668525,6,19.706535000000002,6.8353324,8,89,89,2.3183404999999997,0.6220690999999999,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463670428651425664,194.11228661293458,27.332514916778425,0.5406274,0.40669890000000003,20.272651999999997,156.96405,300,21.08384,3.9659730000000004,18,19.032223000000002,35.026917,30,267,265,0.20749743,0.023664012999999998,False,2016.0,2.708955198801968,0.60829574,-21.546914357027035,0.6813731,-15.634445101041631,0.5886463000000001,NOT_AVAILABLE,3205
1463670531730643072,194.1048906552103,27.355300996230017,0.37322825,0.30505225,19.774757,280.01633,335,20.724089000000006,10.377824,30,18.91082,25.156813,38,269,268,0.28864723,0.09237665,False,2016.0,0.051596617573736736,0.48738393,-2.9686834066900314,0.47282138,-10.755024846141836,0.4539573,NOT_AVAILABLE,3205
1463670600450121216,194.1429586478833,27.367175471842785,0.75722826,0.60158914,20.590122,141.18163,224,21.02662,6.5223722,18,19.843733,9.19518,22,216,216,1.2024946,0.84118414,False,2016.0,-0.09695175030421076,0.9071283000000001,-11.505085927304954,0.9107668999999999,-3.98237661403426,0.9830583,NOT_AVAILABLE,3205
1463670669171569664,194.12624470222485,27.37429450031698,2.1280217,0.99337626,20.787092,70.10628,145,21.04852,3.2755744,9,19.56082,9.484661000000001,16,129,129,0.0,0.0,False,2016.0,6.224086384207783,2.5472956,-14.944630366544864,2.0125625,0.412086139955385,1.621003,NOT_AVAILABLE,3205
1463671081486456192,194.02681937530662,27.350831660531448,0.70198566,0.7402338,20.475788,131.6887,209,21.098274,5.7366953,18,19.496614,14.4655905,25,206,204,2.189998,3.2919035000000005,False,2016.0,0.27587698032558056,0.94512737,0.5049817853996582,0.9866226,-2.7241888713332467,1.2167773000000002,NOT_AVAILABLE,3205
1463671115846194304,194.04822608939082,27.350724951256925,0.24569866,0.21451882,19.085545,441.4275,338,20.3827,12.926701,36,17.988829,65.12335,36,266,264,0.30511716,0.24132092,False,2016.0,1.2480163323433875,0.36001286,-38.34650048454992,0.28496596,-4.713028847557812,0.27697444,NOT_AVAILABLE,3205
1463671150205934976,194.04255034022339,27.36366925070867,5.4438057,2.1454346,20.922707,69.182976,243,19.4279,17.674982,25,17.709592999999995,58.88778000000001,23,198,194,14.818129,27.325571000000004,True,2016.0,,,,,,,NOT_AVAILABLE,3205
1463671184565673216,194.02429988127383,27.36293195772564,0.18285757,0.14710552,18.688663000000002,573.18225,338,19.264763000000002,27.86416,40,18.060556,62.317485999999995,40,301,299,0.27065292,0.3538981,False,2016.0,0.4620480214312618,0.2230136,0.979227746151798,0.21514395,-10.869558607033555,0.20451266,NOT_AVAILABLE,3205
1463671184565673856,194.0217432235717,27.365727037956106,0.18923049,0.1598826,18.617273,583.67444,346,19.917414,14.562729999999998,39,17.570215,93.67322,40,299,298,0.62762755,2.059328,False,2016.0,2.307275694254922,0.23282248,-42.54108884517504,0.2260433,16.729963155671967,0.21791697,NOT_AVAILABLE,3205
1463671188860908288,194.02702303436192,27.36404504602991,5.9155717,1.3468868999999999,20.94443,54.093475,92,21.096529,3.512718,7,20.091755,6.0556703,7,86,85,2.8740248999999998,0.8328665000000001,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463671188861267584,194.0284590705019,27.36559310660701,0.04337683,0.03805482,15.461616500000002,2772.7441,338,15.992833,346.01227,37,14.766375,637.24475,35,282,282,0.2746367,12.299361,False,2016.0,1.4448948979843232,0.057699144,15.093732332054806,0.05195835,-6.800748665194654,0.054414805,NOT_AVAILABLE,3205
1463671253285149440,193.99693029337303,27.35802506099165,0.09080869999999999,0.06650579,17.3406,1049.7722,331,18.421105999999998,53.81735,36,16.319859,234.73982,35,286,285,0.18762788,0.8243020000000001,False,2016.0,1.8847129066296464,0.10616065,-31.63842421058785,0.11187959,-1.0994480984757926,0.10129044,NOT_AVAILABLE,3205
1463671322008496768,193.98965182022263,27.369883613742967,0.81553024,0.7554464,20.608204,123.82261000000001,218,21.42771,5.964586,19,19.470229999999997,14.722005,23,204,203,1.7266285,0.7630748,False,2016.0,1.8662026134032743,1.1214792,-22.928788985828557,1.1549531000000002,2.194575849690612,1.4296908000000002,NOT_AVAILABLE,3205
1463671356364721024,193.995690457889,27.371960905020924,4.390068,1.6061306999999998,20.899635,55.484584999999996,63,21.655936999999998,6.8434477,3,19.913256,4.2490726,6,65,65,2.6464987,0.6771666999999999,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463671459443582976,194.00314508512656,27.382065146762198,0.04998504,0.046738262999999995,16.435251,1426.2367,346,17.55815,85.14563000000003,40,15.380098,412.30127000000016,39,280,278,0.1588008,1.5631233,False,2016.0,2.482998593053241,0.070578344,-15.669982407850876,0.0609568,3.7614126037138846,0.06600299999999999,NOT_AVAILABLE,3205
1463671463738815360,194.01170281785028,27.38905018262709,1.795553,1.0916046999999998,20.847664,72.75773000000002,115,21.389295999999998,2.169126,8,19.73781,9.771816000000001,15,106,106,0.0,0.00046760059999999997,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463671463739203328,194.00948665281052,27.382892091511607,3.4642199999999996,2.4319884999999997,20.966297,54.76942,204,20.223335000000002,10.327630000000001,19,18.659203,30.189821000000002,22,190,189,18.669065,60.793262,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463671528163058048,194.06158171050674,27.371547028263283,0.27075246,0.23483764,19.230944,388.31897000000004,322,20.316326,13.263573000000001,35,18.262812,54.80817800000001,34,256,254,0.6393223000000001,1.0251582000000001,False,2016.0,1.2684290360594652,0.33826727,8.302512660301502,0.33950508,-28.314110138985384,0.3045901,NOT_AVAILABLE,3205
1463671631242276608,194.0582559886734,27.39379641583217,0.4215183,0.3042091,19.828842,181.97775,324,19.962421,20.977982,34,19.410923,23.602577,37,252,248,0.0,0.0,False,2016.0,0.042784242756366116,0.46860686,-0.4783527551932297,0.53889763,-0.5493091182251797,0.45015967,VARIABLE,3205
1463671699961754752,194.09398433604957,27.403467108285284,6.312675,4.8222833,21.378393,49.731148,131,20.18925,13.563719,15,18.755820999999997,19.040943,14,119,117,23.355339999999998,856.8009,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463671734321492992,194.0717453832491,27.40216814387084,0.14318849,0.1315966,18.33312,710.4836,330,18.603970999999998,44.04600000000001,38,17.94845,56.58994300000001,38,250,248,0.0,0.0,False,2016.0,0.4100657022991556,0.18202329,0.506394609062597,0.18074468,-5.9071056956162025,0.17182562,NOT_AVAILABLE,3205
1463671837400708992,194.04757564271856,27.409817099378,0.0716752,0.0655639,17.378359,1237.0353,358,17.851051000000005,95.89166,41,16.757307,161.2369,42,302,302,0.0,0.0,False,2016.0,-0.015886468358444338,0.099000454,-1.2436281512071852,0.08636849,-1.7509488024018756,0.0933685,NOT_AVAILABLE,3205
1463671906120187008,194.0436473123111,27.418732863472876,0.08767782,0.08411472,17.767641,974.16754,365,18.060226,78.34938000000002,40,17.340591,83.43838000000002,42,331,330,0.0,0.0,False,2016.0,0.09849442646182116,0.12474982400000001,-7.924337961675075,0.105083436,-12.031445920577646,0.118732706,NOT_AVAILABLE,3205
1463671979135250304,194.0703267439704,27.420106417625536,0.04812207,0.044865645,16.620163,1848.7218,369,17.126585000000002,170.0522,45,15.944664000000001,292.68973,42,298,296,0.05609474,0.17218861,False,2016.0,0.8891471820711949,0.069130175,-5.025233756651723,0.06131719400000001,-13.538620191525496,0.06895423,NOT_AVAILABLE,3205
1463671979135250432,194.06706476669999,27.42446216553589,0.071812905,0.06713915,17.3467,1235.8944,354,18.031082,84.87069,40,16.548801,204.95403000000002,39,290,290,0.0,0.0,False,2016.0,1.1037993440523104,0.10018003,-3.9633057648995798,0.08954828,-4.676254144075701,0.10035825,NOT_AVAILABLE,3205
1463671979135250560,194.06848441009788,27.42830893741432,0.32631803,0.32807797,19.822762,277.49213,325,20.804655,10.484416,30,18.736692,34.915462,41,269,269,0.0,0.0,False,2016.0,0.7358798341837273,0.45484832,-24.26845947742477,0.41300982,-1.7474840772290041,0.4367777,NOT_AVAILABLE,3205
1463672009199404160,194.05417864757737,27.427159569623512,0.18187745,0.17903712,18.984215,457.09735,361,19.254913000000002,32.112390000000005,43,18.639515,36.179695,40,294,291,0.0,0.0,False,2016.0,0.4197494848235708,0.26009262,-1.5781092096943832,0.21759766,-4.005931848722522,0.24450259,NOT_AVAILABLE,3205
1463672219652798208,194.17159485350552,27.390090530177716,1.5363576,4.6967835,19.912520999999998,118.15476000000001,93,,,0,,,0,87,86,1.1763713,0.50069577,False,2016.0,,,,,,,NOT_AVAILABLE,3205
1463672219653419264,194.1718213287463,27.390172622126226,0.06050875,0.052234955,16.121668,1579.5432,369,16.699865,225.73587,45,15.352793,552.054,43,322,319,0.41423813,16.114641,False,2016.0,0.8256377900086387,0.07799827,-17.548597941813807,0.07036308,-3.128447701415962,0.07711027,NOT_AVAILABLE,3205
