source_id,ra,dec,ra_error,dec_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_g_n_obs,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_n_obs,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_excess_noise,astrometric_excess_noise_sig,duplicated_source,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_variable_flag,pixel
1464867590655951744,192.22435774915073,29.049472594680058,0.35575953,0.3141857,19.933432,230.23943,315,20.093813,15.240996,34,19.603352,15.453568,33,279,278,0.0,0.0,False,2016.0,-0.19370949628829853,0.4847191,-2.02133407841367,0.44495207,-1.7064224120146865,0.5186516,NOT_AVAILABLE,3204
3962604760788029568,191.25883511581205,27.295318906879398,0.054695394,0.049055353,16.983488,1681.0895,381,17.42663,116.749176,42,16.371520999999998,185.14322,41,322,321,0.0,0.0,False,2016.0,-0.0752108678032528,0.08072169,-3.232396214296884,0.076339096,-3.123715971507353,0.08490651,NOT_AVAILABLE,3204
3962604829507311488,191.2540889187704,27.307089649305677,8.805415,3.197058,21.11378,34.124332,40,21.575594,2.0293512,3,20.432655,1.3919754999999998,2,43,43,7.9155655,2.886199,False,2016.0,,,,,,,NOT_AVAILABLE,3204
3962604962655231488,191.2716509589703,27.32516390878516,0.09549194,0.08122396,17.895410000000005,924.4813,380,18.612486,46.00506,37,17.075968,117.58496,36,324,322,0.0,0.0,False,2016.0,0.7731730222713472,0.14095353,9.323146550344902,0.12603652,-15.847814642512596,0.14203936,NOT_AVAILABLE,3204
3962604966946525696,191.27228125826332,27.324975719354768,5.6220922,4.3212333,21.054813,35.29059,48,,,0,,,0,57,53,12.862624,4.476244,False,2016.0,,,,,,,NOT_AVAILABLE,3204
3962605035665974016,191.24147387679687,27.323673890608482,0.6329597,0.44994286,20.437332,166.30048,303,20.564596,16.198282,30,19.876307,13.106695,31,262,261,0.0,0.0,False,2016.0,1.0523873611826162,0.88307387,-1.9755146979664904,0.9706552,-5.640897248097267,0.9415784,NOT_AVAILABLE,3204
3962605100091242880,191.22636534676758,27.32791636365964,5.91966,3.1964076,20.872435,45.512417,59,20.884932,4.6529784,4,19.591074,5.983489,6,59,59,6.230955000000002,2.3188593,False,2016.0,,,,,,,NOT_AVAILABLE,3204
3962605134449768192,191.2488459657748,27.322359498259782,0.5747777,0.41886413,20.031878,212.5693,325,21.445158,6.011158,21,18.774683,26.778763,32,277,277,2.0300703,2.8457534,False,2016.0,1.4513564747187846,0.7746451,-8.071945535784238,0.75027823,-51.42637184623912,0.71800065,NOT_AVAILABLE,3204
3962605134449769088,191.24919207168128,27.331925789741145,0.33190408,0.26571125,19.696314,289.11395,382,20.8961,7.594457000000001,33,18.553377,36.627644,37,316,316,0.3294357,0.14360309,False,2016.0,1.5858109138293082,0.48371094,-23.64420768160441,0.42512852,-2.1980969359756024,0.47300398,NOT_AVAILABLE,3204
3962605134449769216,191.24715942216,27.33315483200464,0.40764618,0.31770816,19.882772,264.60162,376,21.106668,8.015582,31,18.725603,25.835264,38,311,311,0.97206956,0.8861428,False,2016.0,1.3830851387061516,0.6061245,-23.73535737329525,0.53376794,-2.8107950124242733,0.58624,NOT_AVAILABLE,3204
3962605168809507840,191.26465883031932,27.337986097163697,48.966084,8.219572,21.663239,27.224861,42,20.317894,3.8870592,5,18.769161,14.861271,5,50,50,34.4918,19.120718,False,2016.0,,,,,,,NOT_AVAILABLE,3204
3962605276183680640,191.29348179768246,27.33433964882528,0.8449726999999999,0.5267504,20.151855,106.58398,179,20.010720000000006,3.9330056,7,18.94893,7.305639999999999,6,176,173,1.5506742,0.8652876,False,2016.0,8.356022082982758,0.93739164,63.16054461638218,1.4173963,-48.5061014800847,1.1265098,NOT_AVAILABLE,3204
3962605276184105600,191.29217134136616,27.332560708054967,0.04505996,0.042910296,8.987003999999997,6140.604,361,9.283099,3302.9517,38,8.522269,3514.8784,36,293,292,0.4428714,265.10497999999995,False,2016.0,7.910756705822639,0.06896251,70.73582284686516,0.058697503,-48.9114611041269,0.07055517,NOT_AVAILABLE,3204
